date,period,word_count,sentiment,relationships_count,work_projects_count,self_reflection_count,emotional_struggle_count,achievement_count
2022-08-09,post_graduation,124,0.06666666666666665,0,0,4,0,0
2022-08-15,post_graduation,503,0.07195197044334976,1,1,2,0,0
2022-08-24,post_graduation,206,-0.08708333333333336,0,1,3,1,0
2022-09-07,post_graduation,212,-0.12371031746031745,0,4,4,1,1
2022-09-21,post_graduation,624,0.06822091886608017,3,3,5,1,2
2022-10-12,post_graduation,223,-0.08432539682539685,0,2,3,0,2
2022-10-14,post_graduation,238,0.04904479578392622,0,1,2,1,2
2022-10-24,post_graduation,1,0.0,0,0,0,0,0
2022-10-27,post_graduation,157,-0.1869047619047619,0,0,2,1,0
2022-10-31,post_graduation,272,0.057580645161290314,0,1,4,1,0
2022-11-02,post_graduation,229,0.04464285714285716,1,2,2,1,0
2022-12-05,post_graduation,286,0.08376869342778435,1,2,2,0,2
2023-02-07,post_graduation,541,0.09461794702472666,1,3,7,1,3
2023-02-14,post_graduation,412,0.23557582123758594,2,2,3,3,0
2023-02-14,post_graduation,122,0.3410714285714286,1,2,2,0,1
2023-03-02,post_graduation,73,-0.045833333333333344,0,0,1,1,0
2023-03-02,post_graduation,291,-0.1636363636363636,2,2,2,3,1
2023-03-05,post_graduation,237,0.09938271604938273,0,2,3,1,0
2023-03-06,post_graduation,242,-0.01096611721611722,0,2,2,1,0
2023-03-29,post_graduation,393,0.042619047619047605,0,2,3,2,3
2023-05-10,post_graduation,36,-0.1,0,0,1,0,0
2023-05-11,post_graduation,51,0.04330357142857143,0,2,0,0,0
2023-05-17,post_graduation,186,0.05185185185185186,1,0,3,0,1
2023-05-21,post_graduation,394,0.026094276094276104,0,4,3,1,2
2023-05-24,post_graduation,66,-0.057936507936507946,0,0,1,0,0
2023-06-30,post_graduation,133,-0.09358465608465608,0,0,2,0,1
2023-08-10,post_graduation,453,0.11961055740125509,2,3,3,0,2
2023-08-21,post_graduation,115,0.2009163059163059,0,1,2,0,0
2023-09-08,post_graduation,52,-0.1701388888888889,0,2,1,0,0
2023-09-29,post_graduation,620,-0.04983963006690282,0,1,5,3,1
2023-10-13,post_graduation,146,0.026595626595626587,0,1,1,0,0
2023-10-13,post_graduation,258,-0.002083333333333336,1,2,4,2,1
2023-10-24,post_graduation,151,0.18026315789473682,1,1,1,0,0
2023-11-08,post_graduation,402,-0.10136054421768709,1,2,5,2,3
2023-11-19,post_graduation,228,0.19643092414831542,0,1,2,0,1
2024-02-27,post_graduation,384,-0.0020175438596491315,1,1,4,5,0
2024-02-29,post_graduation,247,-0.034375,1,0,0,0,0
2024-04-08,post_graduation,2668,0.016387792348613265,6,3,5,3,2
2024-12-17,post_graduation,401,0.0679138321995465,1,3,2,2,1
2024-12-17,post_graduation,52,-0.0857142857142857,0,0,0,0,0
2024-12-22,post_graduation,502,0.17761072261072258,1,1,7,1,1
2024-12-27,post_graduation,797,0.05038930976430977,2,1,8,4,1
2024-12-30,post_graduation,275,-0.031166666666666662,0,3,3,2,1
2024-12-30,post_graduation,249,0.06555059523809526,1,1,2,2,0
2024-12-30,post_graduation,297,-0.02345679012345679,0,0,3,1,1
2025-01-05,post_graduation,218,0.06373626373626375,0,0,2,0,0
2025-01-07,post_graduation,617,0.13869047619047614,4,0,5,3,2
2025-01-14,post_graduation,168,0.30337301587301585,2,0,0,1,0
2025-01-16,post_graduation,245,0.08869047619047621,0,3,4,2,1
2025-01-16,post_graduation,258,-0.1542559523809524,0,0,2,1,0
2025-01-17,post_graduation,353,0.1299553571428571,3,1,3,3,1
2025-01-29,post_graduation,283,-0.07702252944188424,1,1,2,1,0
2025-02-02,post_graduation,443,-0.014022727272727289,2,0,4,2,0
2025-02-12,post_graduation,207,-0.09166666666666666,0,3,2,1,0
2025-03-31,post_graduation,334,-0.27039141414141415,3,4,3,4,2
2025-04-07,post_graduation,604,0.08506274131274132,2,0,5,3,1
2025-04-10,post_graduation,314,0.09626068376068377,0,1,0,1,0
2015-10-02,pre_graduation,1207,0.12024952495249523,4,2,5,1,1
2015-10-12,pre_graduation,4678,-0.022718909288153892,8,3,9,3,3
2015-12-27,pre_graduation,2273,-0.02304778554778554,2,2,7,3,4
2016-01-07,pre_graduation,4731,0.062377899877899906,4,8,11,5,4
2016-02-19,pre_graduation,1400,0.052797650146788076,3,4,6,0,3
2016-03-10,pre_graduation,1739,-0.01192576762197016,3,2,2,1,3
2016-05-20,pre_graduation,2474,-0.03440979310544526,4,4,5,2,6
2016-05-20,pre_graduation,3952,-0.1067000701080891,5,2,6,4,1
2016-05-20,pre_graduation,989,0.10436755952380952,3,2,6,0,0
2016-06-13,pre_graduation,2106,0.08891384891384888,4,2,6,3,2
2016-06-13,pre_graduation,205,0.22924025974025974,0,0,0,0,0
2016-06-13,pre_graduation,313,0.05098885682219016,0,1,0,0,1
2016-06-14,pre_graduation,1249,0.0929244171626984,3,2,4,2,3
2016-07-09,pre_graduation,2647,0.029424211054645863,7,2,6,1,2
2016-11-05,pre_graduation,269,0.03439676265763221,0,0,2,0,0
2016-11-06,pre_graduation,2704,0.015309021335807053,6,3,6,3,2
2017-04-14,pre_graduation,1106,0.028445165945165937,2,0,6,3,1
2017-05-11,pre_graduation,404,0.027052005012531345,1,0,1,2,0
2017-08-20,pre_graduation,1677,0.06378238910847608,1,1,5,1,1
2017-10-08,pre_graduation,1211,-0.09965228405009423,3,4,5,3,0
2017-10-13,pre_graduation,202,0.022159090909090906,1,1,2,0,0
2017-12-14,pre_graduation,1435,0.059609718984718986,0,1,4,0,3
